Rating,Review
4.0,"Good, soft saree pleats are standing crrt"
4.0,Great
5.0,Beautiful ❤️
4.0,Nice 👍
4.0,Nice saree
4.0,Nice material.I bought this to gift to my dear friend.Satisfied.
3.0,Okok product
5.0,Nice saree
5.0,Super 👌👌👌👌 same to same
5.0,Fantastic
4.0,Nice product
5.0,So beautiful 😍😍❤️
4.0,Very good febric 👌
5.0,I just love it
5.0,Very nice shree thank you so much Flipkart 😍😍
5.0,Loved it ❣️😌
5.0,Beutiful sharee
4.0,Nice fabric 👍🏻
4.0,This is good 👍 quality
5.0,Very very nice I loved it
4.0,Good product
5.0,"Really very nice, fabric is Georgette means soft wali, it's blouse is fabulous,the embroidery on it so clean and beautiful, that I love it, nice magenta, Rani colour that I wanted, I'm so happy with the material and timely delivery, reasonable prices, thankyou so much 🙏🙏 one suggestion i want to give cloth of blouse should be more than 1 mtr so we can make full sleeves, in this cloth only 10 cm.arm can be made🙂"
4.0,Nice saree liked it
5.0,Blouse embroidery is amazing. I liked very much
5.0,Just look like woow
4.0,I received the expected product.. The quality of the saree is fine in terms of it's range.. For daily wear use it's good.. Happy for it.. Thank you flipkart
5.0,Good 😊
5.0,It's really awesome ❤️
5.0,So pretty and light weight 😍
5.0,Nice 👍👍
5.0,Worth of money nd superb quality
5.0,Super 👌👌
5.0,So beautiful 🤩
5.0,Awesome colour or fabric 👌👌👌 I loved it so much 😍😍😍😍
5.0,amazing 🥰 eye catching colour
5.0,Good
5.0,Very soft and good politely fabric
5.0,This is so pretty I like this product ❤️😍
5.0,Amazing Saree..I love it
5.0,Nice product
5.0,Super so good thank you so much
5.0,Superb saree
5.0,Exllent
5.0,"Color khup sundar ahe
Ani blause picse awesome ahe"
4.0,Good
5.0,Just awesome ❤️ I loved it 🥰
4.0,Just awesome material in this rate dont think too much and buy.
4.0,Awesome 👍🏽
5.0,"It's too good, i love it"
5.0,Beautiful saree same as catlog superb
5.0,Nice product and very good quality👌
5.0,Very good 👍🏻
5.0,Nice saree 💯👍
5.0,Nice saree 💯
1.0,Poor quality 😔😔
5.0,Nice good quality
5.0,"I loved the saree It was so nice and very soft and smooth, totally superb."
3.0,Best saari in my wife gift
5.0,Very good
5.0,Good 👍
5.0,I'm happy 😊
4.0,Nice
5.0,Nice
5.0,Super super super I am full happy thank you Flipkart 😄😄😄😄😄😄😄
4.0,Super tqqq meesho 😍
5.0,Thank you flip
5.0,Super
3.0,Blouse ok saree quality not ok
5.0,Very nice saree.... As shown as picture 😍😍😘
5.0,Superb
5.0,Nice saaree I like it most
1.0,Not bad
5.0,Good I like it saree
5.0,"Nice saree... quality super,. I am happy"
5.0,Good Quality
5.0,Really nice saree go for it ...I just love it❤️❤️
1.0,Poor quality
5.0,"Amazing product, arrived just as shown"
5.0,Absolutely too good
5.0,Very nice product and material..most buy👍👍
1.0,Waste product
5.0,Wow
5.0,This saree is on fire🤩
4.0,Good and soft
5.0,very good fabric and comfortable🤞
4.0,Very good
3.0,Failure full product acaaa
5.0,Beautiful saree sarees quality best colour wow
3.0,Good quality
3.0,I love it thankyou Flipkart
4.0,Beautiful saree
4.0,Beautiful
4.0,Really very nice
5.0,👍 Good goo for bay
1.0,Not good quality product
3.0,"Very nice and reginable price,,"
5.0,Such an amazing product 😍 same as shown totally worthy 💕❣️😊
5.0,"Very beautiful product and light weight also..
Even we can also wear it for party... will give an elegant look"
5.0,Good product 👌
3.0,Oky oky
4.0,"For farewell it's one of the best saree and look wish love it but it's net type ( visible ) and overall according to price it's okay 👏💓
👉👈☺️🍀 hope I am looking good in saree actually it's very simple and also quite beautiful 💓🍀 ( easy to handle too )
Radhe radhe 🙏🍀"
3.0,Nice
2.0,Very short cloth
4.0,Best quality
4.0,It's was very beautiful and comfortable 😘
5.0,I liked it🤩🤩🤩
5.0,Nice super preoduct
5.0,Nice product must buy
3.0,Nice saree and happy
5.0,Super product
4.0,Not bad. You can go for it
5.0,Good product
5.0,Nice product 🤗
5.0,Good fabric 👌best product for Flipkart but saree plan . I'm upset
5.0,Very good product thank you Flipkart
5.0,Nice sadi
5.0,"Light weight, comfort"
5.0,Amazing
3.0,Good
5.0,Good product 👌 love this sareee 😍
5.0,Quality is same
1.0,Very size low
4.0,It's too good I love this saree
1.0,Bad finishing
5.0,Very beautiful
5.0,Super saree blouse bit is awesome
5.0,I love it 😍 it's amazing saree just love it😍
5.0,Good product 😊
5.0,It's good
3.0,Its good but Color slightly dull .
5.0,Super l liked very much thank you 😄😄
5.0,Nice 🙂
5.0,NIC
3.0,"The blouse piece is fab, I don't like the saree color and fabric much, ok ok product"
5.0,"A very beautiful saree has come, thank you 😊 Filipkart I bought it for my mother, I liked it very much, the quality is also very good, the colour is also very nice"
5.0,Nice Saree😊
2.0,Quality of the product is not so good color and design are same as shown
4.0,Very nice
5.0,Best
5.0,Very good products
3.0,Jacket material is not enough
5.0,Very good 👍 go for it
5.0,Too good nice fabric
5.0,I like saree
5.0,Nice quality thank you Flipkart ❤️🥰
5.0,Thank you meesho it's amazing saree
5.0,Very good quality and nice saree
5.0,It's good 😊
5.0,Very Nice 👍🏻
5.0,Superb ✨
4.0,Good quality and smooth and soft georgette saree
5.0,Very nice
5.0,It's really good
5.0,Super quality...very nice
1.0,Not good
5.0,Very nice product and quality
4.0,"Yes , it's simple and elegant"
5.0,"The quality of the product is very good, fabric is absolutely fine and great. It is less in weight so you can carry easily,all over the product is good"
5.0,"The fabric is better than I thought, the blouse is also nice."
5.0,Best product in best price
5.0,So beautiful 🥰
5.0,This sharee is very beautiful ❤️🧿
5.0,Same color as shown in Image
4.0,This Saree is really beautiful full my wife's love this Beautiful Gift🎁
4.0,Super
5.0,I am so happy thanks Flipkart
5.0,Good at price
5.0,Very nice 👌
5.0,quality is amazing I love it 😍
4.0,Very nice saree. Price effective
5.0,Awesome saree
5.0,Super materials. Satisfied
5.0,Nice saari....
1.0,Very very bad
5.0,"This is so good. Especially its colour. OMG it's not red, its fuchsia 🩷"
5.0,So Beautiful
5.0,Must buy!
5.0,Thank you Flipkart
5.0,Super quality
3.0,Ok
5.0,Good 👍 but lift weights
5.0,As per expectations
5.0,It's really pure cotton tant saree. Thank you Flipkart. Highly recommended you will go with this product without any doubt.
5.0,Very nice cotton saree
5.0,Very good product
5.0,Very good product and good fabric quality
5.0,Saree is very good
5.0,Niceeee
2.0,Don't buy waste of the quality of product is very bad
2.0,Material quality to bed
2.0,Material is so thin otherwise it is gud
2.0,Worst sarees
5.0,Very good quality
5.0,Cotton saree...same as shown...Go for it..👏
5.0,"Cost vise ok quality
good product"
3.0,Very Thin.....If you want to buy Then your choice
5.0,Very nice 👍
5.0,All good
1.0,poor quality. you can wear only one time
5.0,Very comfortable and classy
5.0,Best saree thank you flipcard 🙂
1.0,Poor quality... Very thin
5.0,Budget friendly but quality product.
5.0,Beautiful
1.0,Not pure cotton saree one type of silk
5.0,Good.
2.0,Very bad quality
1.0,The product is very dirty this product is waste 😠
5.0,This is very good quality
5.0,Very
5.0,Very nice product
4.0,Very good quality
1.0,Worst Quality
5.0,Nice product 😍
5.0,As per requirement.
5.0,Product is very good..pure cotton and received as shown as pic.Highly recommended 👍
4.0,"Nice Product,😊😊"
5.0,"I like it,"
5.0,Nice saree 🥰
4.0,Not bad
4.0,Amazing 😍
5.0,This product is most likely and comfortable 💗💗i want to this to my grandmother i love this
4.0,Nice Saree. Worth the price
2.0,The product is not well and good.
5.0,Good quality and affordable price
5.0,Product is as same as described according to price saree is awesome go for it
4.0,"Nice saree
Good for it"
5.0,Transparent But suitable
5.0,"Nice product, 🌹"
5.0,"Very nice product
Thank you Flipkart"
2.0,It's not cotton and breadth is less
5.0,It is the best product in my life
5.0,"Got what showed, very nice and awsome fabric in shop you will have to pay 2000 to 3000 for same saaree"
5.0,Nice Saree
2.0,Saree length is short
1.0,Product low quality.thread work started to drop off in the first wearing
5.0,"Good one 👍👍

Wow I like it 👍👍"
3.0,Excellent 👌👌👌👌👌
5.0,Not bad
5.0,Happy
4.0,Mind blowing product
5.0,Nice saree full cotton saree
5.0,Beautiful saree
5.0,Febric is good 😊
4.0,Cotton materi
5.0,"My mom likes this saree too much
She is satisfied from product"
1.0,Worst quality of fabric
3.0,Don't buy
5.0,Excellent saree
3.0,Zari was not silk but saree is cotton but when u wash its so light
4.0,Good saree ...
5.0,Excellent product
4.0,2 good 😊
4.0,Nice saree collection 👌
3.0,Okk
1.0,Material not good
1.0,Quality below standards
4.0,5 star rating super
1.0,Color is faded in 1st wash and quality is also not good.
5.0,Nice quality 👍🏻
3.0,"Thank you filipkart,fast delivery 🙏 and delivery person very good"
4.0,"MY MOM LOVED IT..✨
THANK YOU SELLER.."
4.0,Very nice sareei 💕
5.0,Good quality
5.0,Nice product🥰🥰🥰
3.0,Best product
1.0,Very very bad quality
5.0,Very good quality saree
1.0,Very vad
1.0,Cheap quality don't buy
5.0,Same as picture.. delivery agent was also good behaviour
4.0,Best product according to its price
1.0,Very poor quality
5.0,"Nice product...

Very good condition..."
5.0,Nice product 👌 👍 👏 😀
5.0,"Very good product 👍🏻
The quality is very good 😊"
4.0,Bful
1.0,Very bad quality products 😕
1.0,Very bad quality
4.0,Good in this price
5.0,Lovely
3.0,Not awesome but good
5.0,Nice look
4.0,Very fine💯💯💯
5.0,Good very good
5.0,Super very good saree
1.0,Poor
2.0,Worst
4.0,Excellent
4.0,Good cotton saree
1.0,Good
4.0,Nic
5.0,Super saree
5.0,Very nice Saree
1.0,Very poor wost product
5.0,Ok
4.0,Good quality
2.0,Worst material
1.0,Very very bad saree in future don't purchase in this type of article
5.0,"Nice, as expected"
4.0,Fabric quality is good
5.0,Excellent
3.0,"Item is not worth for wearing after one wash
Gon to garbage bin. Much disappointed."
1.0,Thin material..weast of money
4.0,Superb quality
1.0,"This is second time m facing the refund issue they always send a wrong fake reference no.that they ve send refund, which they never send plus there is no other option"
4.0,Good Quality Product.
1.0,very bad product quality
5.0,Good 🙂
1.0,Low quality
5.0,"So super product
And good delivery
Good very very happy"
5.0,Love it
5.0,Good product and pure cotten
5.0,It's really price worthy
5.0,"Fabric is pure cotton , comfortable please go for it 💖"
4.0,The cloth is very good
5.0,Very nice kurti pants thanks Flipkart
5.0,Very happy to this product thanq Flipkart
4.0,Colour is same as it's . product quality is also good.
5.0,It's a pure cotton amazing 😍
5.0,"I absolutely loved the dress,the material feels lightweight and beautiful"
5.0,Just looking like a wow
4.0,Fine ok Thanks Flipkart
4.0,Awesome product 😊
4.0,I love this product
4.0,Nice 🙂
4.0,Ok
4.0,Good 👍😊
3.0,Top is not dark
5.0,"Nice product
Exactly as it looks in the picture."
5.0,Pure cotton with nice working style ☺️
3.0,The cloth is not good.
5.0,Loved it 😍
5.0,Okay
5.0,Very good product excellent
5.0,Nice quality and Amazing fitting and same as image
5.0,Product this very good quality and sp
5.0,Nice quality thank you so much Flipkart
5.0,Awesome 👌
5.0,Amezing product 😍😍😍
3.0,Good fitting but Febric little thin
5.0,"Best colour combination kurta set and it has embroidery design, price is so reasonable and size is correct as per chart,my friends liked it so much 🥰"
5.0,Very nice 😍😍😍😍
4.0,Comfortable and affordable prices
2.0,Kapda quality very poor
4.0,Marvelous 👌👌
5.0,Very very good and very nice
4.0,Good pr
4.0,Nice dress
4.0,"Super, good quality."
5.0,Osm product
5.0,Nice product thank you Flipkart 😀
3.0,very nice 👍
4.0,I love it
4.0,Very nice 👍
3.0,Not correct according to size. Especially pant
3.0,Fabric is not cotton it's mix .nd transparent
5.0,Very bueatiful and comfortable product
4.0,Nice product 😄
5.0,Super se upar
5.0,This product is good according to price
